DATE_TIME;LATITUDE;LONGITUDE;GEOHASH;MAXIMUM_SPEED;MINIMUM_SPEED;AVERAGE_SPEED;NUMBER_OF_VEHICLES
2022-01-05 06:00:00.0000000;289215078203392;410311882440704;sxk96j;134;6;61;447
2022-01-05 07:00:00.0000000;289215078203392;410311882440704;sxk96j;121;3;48;477
2022-01-05 08:00:00.0000000;289215078203392;410311882440704;sxk96j;106;3;54;315
2022-01-05 09:00:00.0000000;289215078203392;410311882440704;sxk96j;115;3;58;390
2022-01-05 10:00:00.0000000;289215078203392;410311882440704;sxk96j;111;2;52;414
2022-01-05 11:00:00.0000000;289215078203392;410311882440704;sxk96j;112;2;54;312
2022-01-08 01:00:00.0000000;289215078203392;410311882440704;sxk96j;135;6;66;194
2022-01-08 02:00:00.0000000;289215078203392;410311882440704;sxk96j;138;7;67;136
2022-01-08 03:00:00.0000000;289215078203392;410311882440704;sxk96j;126;7;66;107
2022-01-08 04:00:00.0000000;289215078203392;410311882440704;sxk96j;138;6;61;97
2022-01-08 05:00:00.0000000;289215078203392;410311882440704;sxk96j;139;6;60;199
2022-01-08 06:00:00.0000000;289215078203392;410311882440704;sxk96j;112;6;57;335
2022-01-08 07:00:00.0000000;289215078203392;410311882440704;sxk96j;110;7;61;383
2022-01-13 03:00:00.0000000;289215078203392;410311882440704;sxk96j;118;7;66;84
2022-01-13 04:00:00.0000000;289215078203392;410311882440704;sxk96j;128;6;66;111
2022-01-13 05:00:00.0000000;289215078203392;410311882440704;sxk96j;137;6;60;235
2022-01-13 06:00:00.0000000;289215078203392;410311882440704;sxk96j;126;6;58;561
2022-01-13 07:00:00.0000000;289215078203392;410311882440704;sxk96j;109;5;52;542
2022-01-13 08:00:00.0000000;289215078203392;410311882440704;sxk96j;110;5;53;375
2022-01-13 09:00:00.0000000;289215078203392;410311882440704;sxk96j;120;2;55;501
2022-01-15 15:00:00.0000000;289215078203392;410311882440704;sxk96j;116;3;47;399
2022-01-15 16:00:00.0000000;289215078203392;410311882440704;sxk96j;112;3;51;380
2022-01-15 17:00:00.0000000;289215078203392;410311882440704;sxk96j;131;3;54;372
2022-01-15 18:00:00.0000000;289215078203392;410311882440704;sxk96j;107;8;59;330
2022-01-15 19:00:00.0000000;289215078203392;410311882440704;sxk96j;134;5;59;314
2022-01-15 20:00:00.0000000;289215078203392;410311882440704;sxk96j;114;6;63;302
2022-01-15 21:00:00.0000000;289215078203392;410311882440704;sxk96j;134;10;63;293
2022-01-15 22:00:00.0000000;289215078203392;410311882440704;sxk96j;134;2;56;296
2022-01-20 23:00:00.0000000;289215078203392;410311882440704;sxk96j;147;6;65;259
2022-01-21 00:00:00.0000000;289215078203392;410311882440704;sxk96j;124;9;66;227
2022-01-21 01:00:00.0000000;289215078203392;410311882440704;sxk96j;141;6;65;162
2022-01-21 02:00:00.0000000;289215078203392;410311882440704;sxk96j;141;6;65;111
2022-01-21 03:00:00.0000000;289215078203392;410311882440704;sxk96j;131;6;67;91
2022-01-21 04:00:00.0000000;289215078203392;410311882440704;sxk96j;147;6;63;105
2022-01-21 05:00:00.0000000;289215078203392;410311882440704;sxk96j;119;2;62;243
2022-01-21 06:00:00.0000000;289215078203392;410311882440704;sxk96j;131;6;59;546
2022-01-24 15:00:00.0000000;289215078203392;410311882440704;sxk96j;114;3;54;501
2022-01-24 16:00:00.0000000;289215078203392;410311882440704;sxk96j;102;1;35;471
2022-01-24 17:00:00.0000000;289215078203392;410311882440704;sxk96j;100;1;15;366
2022-01-24 18:00:00.0000000;289215078203392;410311882440704;sxk96j;103;1;26;350
2022-01-24 19:00:00.0000000;289215078203392;410311882440704;sxk96j;101;3;55;233
2022-01-24 20:00:00.0000000;289215078203392;410311882440704;sxk96j;113;6;57;261
2022-01-24 21:00:00.0000000;289215078203392;410311882440704;sxk96j;103;6;48;199
2022-01-24 22:00:00.0000000;289215078203392;410311882440704;sxk96j;76;6;29;126
2022-01-29 12:00:00.0000000;289215078203392;410311882440704;sxk96j;109;3;54;364
2022-01-29 13:00:00.0000000;289215078203392;410311882440704;sxk96j;101;4;54;306
2022-01-29 14:00:00.0000000;289215078203392;410311882440704;sxk96j;115;1;47;235
2022-01-29 15:00:00.0000000;289215078203392;410311882440704;sxk96j;126;3;46;221
2022-01-29 16:00:00.0000000;289215078203392;410311882440704;sxk96j;102;1;47;240
2022-01-29 17:00:00.0000000;289215078203392;410311882440704;sxk96j;110;5;54;199
2022-02-01 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;110;2;50;464
2022-09-02 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;144;6;64;115
2022-02-12 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;6;60;320
2022-02-05 22:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;117;6;60;352
2022-02-05 23:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;123;8;61;303
2022-09-02 04:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;126;6;61;123
2022-09-02 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;120;6;64;227
2022-05-03 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;113;8;68;98
2022-05-03 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;125;7;65;155
2022-05-03 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;7;62;173
2022-09-17 21:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;117;10;60;304
2022-05-19 02:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;132;6;64;121
2022-05-06 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;119;3;57;329
2022-05-06 19:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;116;6;59;329
2022-02-02 11:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;96;3;42;233
2022-02-02 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;110;1;43;390
2022-02-02 13:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;102;3;45;470
2022-02-02 14:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;101;1;50;343
2022-09-05 22:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;113;6;62;313
2022-02-16 09:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;117;5;52;341
2022-02-16 10:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;115;2;51;359
2022-05-15 03:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;128;6;65;122
2022-05-02 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;121;2;42;320
2022-05-04 10:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;129;1;64;272
2022-02-03 16:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;110;1;36;555
2022-02-03 17:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;100;1;21;547
2022-02-03 18:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;91;2;21;436
2022-02-03 19:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;93;1;22;440
2022-02-07 15:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;113;3;47;339
2022-09-06 12:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;105;1;47;377
2022-09-06 13:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;109;2;50;351
2022-09-06 14:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;101;1;44;291
2022-09-06 15:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;107;1;44;280
2022-05-13 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;133;2;51;518
2022-05-10 05:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;129;6;63;246
2022-05-10 06:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;124;6;64;504
2022-05-10 07:00:00.0000000;28,9215087890625;41,0311889648438;sxk96j;118;2;49;582
2022-01-04 23:00:00.0000000;289215078203392;410311882440704;sxk96j;132;6;65;262
2022-01-05 00:00:00.0000000;289215078203392;410311882440704;sxk96j;135;6;67;250
2022-01-05 01:00:00.0000000;289215078203392;410311882440704;sxk96j;125;7;63;183
2022-01-05 02:00:00.0000000;289215078203392;410311882440704;sxk96j;122;7;61;114
2022-01-05 03:00:00.0000000;289215078203392;410311882440704;sxk96j;153;4;63;87
2022-01-05 04:00:00.0000000;289215078203392;410311882440704;sxk96j;147;4;65;109
2022-01-05 05:00:00.0000000;289215078203392;410311882440704;sxk96j;119;6;62;235
2022-01-08 15:00:00.0000000;289215078203392;410311882440704;sxk96j;117;4;48;320
2022-01-08 16:00:00.0000000;289215078203392;410311882440704;sxk96j;118;2;60;261
2022-01-08 17:00:00.0000000;289215078203392;410311882440704;sxk96j;119;3;61;282
2022-01-08 18:00:00.0000000;289215078203392;410311882440704;sxk96j;99;6;58;305
2022-01-08 19:00:00.0000000;289215078203392;410311882440704;sxk96j;127;6;59;301
2022-01-08 20:00:00.0000000;289215078203392;410311882440704;sxk96j;115;2;62;280
2022-01-08 21:00:00.0000000;289215078203392;410311882440704;sxk96j;113;7;64;289
2022-01-14 13:00:00.0000000;289215078203392;410311882440704;sxk96j;110;4;56;489
2022-01-14 14:00:00.0000000;289215078203392;410311882440704;sxk96j;108;2;53;434
2022-01-14 15:00:00.0000000;289215078203392;410311882440704;sxk96j;107;2;51;412
2022-01-14 16:00:00.0000000;289215078203392;410311882440704;sxk96j;124;1;50;410
2022-01-14 17:00:00.0000000;289215078203392;410311882440704;sxk96j;107;1;33;456
2022-01-14 18:00:00.0000000;289215078203392;410311882440704;sxk96j;107;1;42;385
2022-01-19 07:00:00.0000000;289215078203392;410311882440704;sxk96j;101;1;48;490
2022-01-19 08:00:00.0000000;289215078203392;410311882440704;sxk96j;108;3;52;363
